,Datetime,Tweet Id,Text,Username
0,2021-12-02 17:13:28+00:00,1466455490242785286,"@AmazonHelp ….I bought a product on eBay from a company that’s used Amazon Shipping, it was meant to be delivered on Tuesday but has sat in Ipswich since 06.10 two days ago, the company that sent it has apologised but where is it ? I live in Ipswich !!! 😳",AllanKi22269349
1,2021-12-02 17:13:28+00:00,1466455489982570499,@AmazonHelp I can dm you what the package says,Cocoontheleft
2,2021-12-02 17:13:25+00:00,1466455476078583811,@Dukie310 We've re escalated this issue for you and apologize for any inconvience this has caused. We'll be in touch soon. -Tasha,AmazonHelp
3,2021-12-02 17:13:20+00:00,1466455453458739209,@AmazonHelp This item is available for same day delivery. Why don’t you just pull the delayed/lost package back and deliver another one today?,cbnystrom
4,2021-12-02 17:13:18+00:00,1466455445246197765,"@gabrrieldias Olá! Por favor, poderia nos informar qual é a data estimada de entrega do seu pedido?

-Diana",AmazonHelp
5,2021-12-02 17:13:16+00:00,1466455439437185031,@AmazonHelp Redownloading app. I’ll let ya know,spartanlyft
6,2021-12-02 17:13:16+00:00,1466455437264388096,"@AmazonHelp It's already streaming in Hindi now..
@PrimeVideoIN @PrimeVideo @AmazonHelp",RamKumarkl2298
7,2021-12-02 17:13:13+00:00,1466455423561740296,@Healthy_Blonde We're sorry to hear this. We have some helpful tips on locating packages marked delivered. You can check them out within our Help pages here: https://t.co/NxTGaMyLYt. Let us know if you're not able to locate the package! -Donald,AmazonHelp
8,2021-12-02 17:13:12+00:00,1466455420436992003,"@naniinhamoreira Olá!
Sentimos pelo inconveniente...
Você pode identificar contatos da Amazon por essas instruções https://t.co/a9rZ7yIAOl.
É possível reportar esse tipo de situação conforme as descrições aqui https://t.co/oQma2aXs09.
Estamos à disposição!
-Marce",AmazonHelp
9,2021-12-02 17:13:08+00:00,1466455402392993798,"@kbalgam Apologies for the unpleasant experience with us. Could you please elaborate on your concern, we'll like to help you? -Paul",AmazonHelp
10,2021-12-02 17:12:55+00:00,1466455350589018114,@AmazonHelp I believe it was through Amazon through they’re cyber deal the box says it comes with brushes but I could not find them anywhere in the box,Cocoontheleft
11,2021-12-02 17:12:54+00:00,1466455346248130564,@ismail_ozyalc Selam! 😊 Prime Video hizmetimizi beğenmiş olmana ve övgü dolu sözlerin için çok ama çok teşekkür ederiz. Zaman Çarkı dizimizle de keyifli seyirler dileriz. İyi akşamlar. -Kuzey,AmazonHelp
12,2021-12-02 17:12:53+00:00,1466455341558906884,@AmazonHelp Je viens de le faire mais c'est assez urgent de faire la correction c'est pour un anniversaire qui a lieu dans 3 jours et il me faut le cadeau en temps et en heure,Elobe83
13,2021-12-02 17:12:52+00:00,1466455337410703366,@AmazonHelp doesn’t do any good to have it on the updated date you updated it last night at 8pm if you aim to get the package here on time then you should have procedures to ensure you meet that obligation if ups can’t meet it you should be sending your carrier to get it and meet deadline,stevene07481403
14,2021-12-02 17:12:42+00:00,1466455293710286854,"@AmazonHelp Boa tarde, não tenho montada mas creio que seja devido minhas lives a pergunta que fica  é como chegou no meu endereço ? já que vocês falam que é ""seguro"" mas eu amei e se foi a própria amazon obg :)",muffyway
