,Text,Tweet Id,no_contract,tokenized,lower_case,punctuation_removed,stopwords_removed,Text_Cleaned,Target
12850,Here's some breaking news - is rolling out eSIM support very soon. It won't just be the new… https://t.co/So9tzl6YD1,1042677342794129408,here is some breaking news - is rolling out eSIM support very soon. It will not just be the new… https://t.co/So9tzl6YD1,"['here', 'is', 'some', 'breaking', 'news', '-', 'is', 'rolling', 'out', 'eSIM', 'support', 'very', 'soon', '.', 'It', 'will', 'not', 'just', 'be', 'the', 'new…', 'https', ':', '//t.co/So9tzl6YD1']","['here', 'is', 'some', 'breaking', 'news', '-', 'is', 'rolling', 'out', 'esim', 'support', 'very', 'soon', '.', 'it', 'will', 'not', 'just', 'be', 'the', 'new…', 'https', ':', '//t.co/so9tzl6yd1']","['here', 'is', 'some', 'breaking', 'news', 'is', 'rolling', 'out', 'esim', 'support', 'very', 'soon', 'it', 'will', 'not', 'just', 'be', 'the', 'new…', 'https', '//t.co/so9tzl6yd1']","['breaking', 'news', 'rolling', 'esim', 'support', 'soon', 'new…', '//t.co/so9tzl6yd1']",breaking news rolling esim support soon new… //t.co/so9tzl6yd1,0
616,New Video! AirPods User Guide and Tutorial! (Updated for iOS 12!) Part 1: Basic Setup and Overview!… https://t.co/XcET1ZECoa,1043916485079560192,New Video! AirPods User Guide and Tutorial! (Updated for iOS 12!) Part 1: Basic Setup and Overview!… https://t.co/XcET1ZECoa,"['New', 'Video', '!', 'AirPods', 'User', 'Guide', 'and', 'Tutorial', '!', '(', 'Updated', 'for', 'iOS', '12', '!', ')', 'Part', '1', ':', 'Basic', 'Setup', 'and', 'Overview', '!', '…', 'https', ':', '//t.co/XcET1ZECoa']","['new', 'video', '!', 'airpods', 'user', 'guide', 'and', 'tutorial', '!', '(', 'updated', 'for', 'ios', '12', '!', ')', 'part', '1', ':', 'basic', 'setup', 'and', 'overview', '!', '…', 'https', ':', '//t.co/xcet1zecoa']","['new', 'video', 'airpods', 'user', 'guide', 'and', 'tutorial', 'updated', 'for', 'ios', '12', 'part', '1', 'basic', 'setup', 'and', 'overview', '…', 'https', '//t.co/xcet1zecoa']","['new', 'video', 'airpods', 'user', 'guide', 'tutorial', 'updated', 'ios', '12', 'part', '1', 'basic', 'setup', 'overview', '…', '//t.co/xcet1zecoa']",new video airpods user guide tutorial updated ios 12 part 1 basic setup overview … //t.co/xcet1zecoa,0
4727,Here is my new baby https://t.co/lNKJF56ahA,1043348274898452480,Here is my new baby https://t.co/lNKJF56ahA,"['Here', 'is', 'my', 'new', 'baby', 'https', ':', '//t.co/lNKJF56ahA']","['here', 'is', 'my', 'new', 'baby', 'https', ':', '//t.co/lnkjf56aha']","['here', 'is', 'my', 'new', 'baby', 'https', '//t.co/lnkjf56aha']","['new', 'baby', '//t.co/lnkjf56aha']",new baby //t.co/lnkjf56aha,0
5614,Thank you Tim for the picture! https://t.co/UK5xzxaTgT,1043285279820279809,Thank you Tim for the picture! https://t.co/UK5xzxaTgT,"['Thank', 'you', 'Tim', 'for', 'the', 'picture', '!', 'https', ':', '//t.co/UK5xzxaTgT']","['thank', 'you', 'tim', 'for', 'the', 'picture', '!', 'https', ':', '//t.co/uk5xzxatgt']","['thank', 'you', 'tim', 'for', 'the', 'picture', 'https', '//t.co/uk5xzxatgt']","['thank', 'tim', 'picture', '//t.co/uk5xzxatgt']",thank tim picture //t.co/uk5xzxatgt,0
2645,RT Our biggest prize yet. VBI &amp; Vast are back with a HOT giveaway. Because you deserve all the nice things: 🎉 iPhone Xs…,1043598836118315008,RT Our biggest prize yet. VBI &amp; Vast are back with a HOT giveaway. Because you deserve all the nice things: 🎉 iPhone Xs…,"['RT', 'Our', 'biggest', 'prize', 'yet', '.', 'VBI', '&', 'amp', ';', 'Vast', 'are', 'back', 'with', 'a', 'HOT', 'giveaway', '.', 'Because', 'you', 'deserve', 'all', 'the', 'nice', 'things', ':', '🎉', 'iPhone', 'Xs…']","['rt', 'our', 'biggest', 'prize', 'yet', '.', 'vbi', '&', 'amp', ';', 'vast', 'are', 'back', 'with', 'a', 'hot', 'giveaway', '.', 'because', 'you', 'deserve', 'all', 'the', 'nice', 'things', ':', '🎉', 'iphone', 'xs…']","['rt', 'our', 'biggest', 'prize', 'yet', 'vbi', 'amp', 'vast', 'are', 'back', 'with', 'a', 'hot', 'giveaway', 'because', 'you', 'deserve', 'all', 'the', 'nice', 'things', '🎉', 'iphone', 'xs…']","['rt', 'biggest', 'prize', 'yet', 'vbi', 'amp', 'vast', 'back', 'hot', 'giveaway', 'deserve', 'nice', 'things', '🎉', 'iphone', 'xs…']",rt biggest prize yet vbi amp vast back hot giveaway deserve nice things 🎉 iphone xs…,0
9473,RT New looking 🔥. But that price tag? 🤢🤮🤮 We’re giving one away so you don’t have to break the bank. Win an by…,1043104619977682949,RT New looking 🔥. But that price tag? 🤢🤮🤮 we are giving one away so you do not have to break the bank. Win an by…,"['RT', 'New', 'looking', '🔥', '.', 'But', 'that', 'price', 'tag', '?', '🤢🤮🤮', 'we', 'are', 'giving', 'one', 'away', 'so', 'you', 'do', 'not', 'have', 'to', 'break', 'the', 'bank', '.', 'Win', 'an', 'by…']","['rt', 'new', 'looking', '🔥', '.', 'but', 'that', 'price', 'tag', '?', '🤢🤮🤮', 'we', 'are', 'giving', 'one', 'away', 'so', 'you', 'do', 'not', 'have', 'to', 'break', 'the', 'bank', '.', 'win', 'an', 'by…']","['rt', 'new', 'looking', '🔥', 'but', 'that', 'price', 'tag', '🤢🤮🤮', 'we', 'are', 'giving', 'one', 'away', 'so', 'you', 'do', 'not', 'have', 'to', 'break', 'the', 'bank', 'win', 'an', 'by…']","['rt', 'new', 'looking', '🔥', 'price', 'tag', '🤢🤮🤮', 'giving', 'one', 'away', 'break', 'bank', 'win', 'by…']",rt new looking 🔥 price tag 🤢🤮🤮 giving one away break bank win by…,0
13754,RT Our biggest prize yet. VBI &amp; Vast are back with a HOT giveaway. Because you deserve all the nice things: 🎉 iPhone Xs…,1042500886428233728,RT Our biggest prize yet. VBI &amp; Vast are back with a HOT giveaway. Because you deserve all the nice things: 🎉 iPhone Xs…,"['RT', 'Our', 'biggest', 'prize', 'yet', '.', 'VBI', '&', 'amp', ';', 'Vast', 'are', 'back', 'with', 'a', 'HOT', 'giveaway', '.', 'Because', 'you', 'deserve', 'all', 'the', 'nice', 'things', ':', '🎉', 'iPhone', 'Xs…']","['rt', 'our', 'biggest', 'prize', 'yet', '.', 'vbi', '&', 'amp', ';', 'vast', 'are', 'back', 'with', 'a', 'hot', 'giveaway', '.', 'because', 'you', 'deserve', 'all', 'the', 'nice', 'things', ':', '🎉', 'iphone', 'xs…']","['rt', 'our', 'biggest', 'prize', 'yet', 'vbi', 'amp', 'vast', 'are', 'back', 'with', 'a', 'hot', 'giveaway', 'because', 'you', 'deserve', 'all', 'the', 'nice', 'things', '🎉', 'iphone', 'xs…']","['rt', 'biggest', 'prize', 'yet', 'vbi', 'amp', 'vast', 'back', 'hot', 'giveaway', 'deserve', 'nice', 'things', '🎉', 'iphone', 'xs…']",rt biggest prize yet vbi amp vast back hot giveaway deserve nice things 🎉 iphone xs…,0
4308,RT Just a quick grab from and one of the new levels for the world.,1043398918866956294,RT Just a quick grab from and one of the new levels for the world.,"['RT', 'Just', 'a', 'quick', 'grab', 'from', 'and', 'one', 'of', 'the', 'new', 'levels', 'for', 'the', 'world', '.']","['rt', 'just', 'a', 'quick', 'grab', 'from', 'and', 'one', 'of', 'the', 'new', 'levels', 'for', 'the', 'world', '.']","['rt', 'just', 'a', 'quick', 'grab', 'from', 'and', 'one', 'of', 'the', 'new', 'levels', 'for', 'the', 'world']","['rt', 'quick', 'grab', 'one', 'new', 'levels', 'world']",rt quick grab one new levels world,0
14442,RT Our biggest prize yet. VBI &amp; Vast are back with a HOT giveaway. Because you deserve all the nice things: 🎉 iPhone Xs…,1042434020548608000,RT Our biggest prize yet. VBI &amp; Vast are back with a HOT giveaway. Because you deserve all the nice things: 🎉 iPhone Xs…,"['RT', 'Our', 'biggest', 'prize', 'yet', '.', 'VBI', '&', 'amp', ';', 'Vast', 'are', 'back', 'with', 'a', 'HOT', 'giveaway', '.', 'Because', 'you', 'deserve', 'all', 'the', 'nice', 'things', ':', '🎉', 'iPhone', 'Xs…']","['rt', 'our', 'biggest', 'prize', 'yet', '.', 'vbi', '&', 'amp', ';', 'vast', 'are', 'back', 'with', 'a', 'hot', 'giveaway', '.', 'because', 'you', 'deserve', 'all', 'the', 'nice', 'things', ':', '🎉', 'iphone', 'xs…']","['rt', 'our', 'biggest', 'prize', 'yet', 'vbi', 'amp', 'vast', 'are', 'back', 'with', 'a', 'hot', 'giveaway', 'because', 'you', 'deserve', 'all', 'the', 'nice', 'things', '🎉', 'iphone', 'xs…']","['rt', 'biggest', 'prize', 'yet', 'vbi', 'amp', 'vast', 'back', 'hot', 'giveaway', 'deserve', 'nice', 'things', '🎉', 'iphone', 'xs…']",rt biggest prize yet vbi amp vast back hot giveaway deserve nice things 🎉 iphone xs…,0
6841,RT Who can resist the stunning new and Stop by your neighborhood Store to try them out! Find…,1043215019977203712,RT Who can resist the stunning new and Stop by your neighborhood Store to try them out! Find…,"['RT', 'Who', 'can', 'resist', 'the', 'stunning', 'new', 'and', 'Stop', 'by', 'your', 'neighborhood', 'Store', 'to', 'try', 'them', 'out', '!', 'Find…']","['rt', 'who', 'can', 'resist', 'the', 'stunning', 'new', 'and', 'stop', 'by', 'your', 'neighborhood', 'store', 'to', 'try', 'them', 'out', '!', 'find…']","['rt', 'who', 'can', 'resist', 'the', 'stunning', 'new', 'and', 'stop', 'by', 'your', 'neighborhood', 'store', 'to', 'try', 'them', 'out', 'find…']","['rt', 'resist', 'stunning', 'new', 'stop', 'neighborhood', 'store', 'try', 'find…']",rt resist stunning new stop neighborhood store try find…,0
